what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1416299242611
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1416299242611
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1416299242611
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1416299242611
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1416299242611
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1416299242611
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1416299242611
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1416299242611
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1416299242611
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1416299242611
os,sysinfo,,,"win32",1416299242627
arch,sysinfo,,,"x86",1416299242627
ws,sysinfo,,,"win32",1416299242627
locale,sysinfo,,,"en_US",1416299242627
processors,sysinfo,,,"4",1416299242627
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1416299242627
java.runtime.version,sysinfo,,,"1.8.0_25-b18",1416299242627
java.specification.name,sysinfo,,,"Java Platform API Specification",1416299242627
java.specification.vendor,sysinfo,,,"Oracle Corporation",1416299242627
java.specification.version,sysinfo,,,"1.8",1416299242627
java.vendor,sysinfo,,,"Oracle Corporation",1416299242627
java.version,sysinfo,,,"1.8.0_25",1416299242627
java.vm.info,sysinfo,,,"mixed mode",1416299242627
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1416299242627
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1416299242627
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1416299242627
java.vm.specification.version,sysinfo,,,"1.8",1416299242627
java.vm.vendor,sysinfo,,,"Oracle Corporation",1416299242627
java.vm.version,sysinfo,,,"25.25-b02",1416299242627
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1416299245482
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1416299247915
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1416299248118
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416299249304
started,bundle,org.eclipse.jdt.apt.core,3.3.400.v20100513-0845,"org.eclipse.jdt.apt.core",1416299610690
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.300.v20100513-0845,"org.eclipse.jdt.apt.pluggable.core",1416299610690
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416299612406
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1416299612437
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProblemView",1416299612453
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1416299614449
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416299616290
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1416299618568
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1416299618615
started,bundle,org.eclipse.core.externaltools,1.0.0.v20100505,"org.eclipse.core.externaltools",1416299618661
